Athletics Indicator,Major,Term,Distinct Students,Distinct Students.FORMATTED_VALUE
Athlete,Accounting (ACCT),2021-22,19,19
Athlete,Accounting (ACCT),2022-23,25,25
Athlete,Accounting (ACCT),2023-24,20,20
Athlete,Accounting (ACCT),2024-25,23,23
Athlete,Acting (ACTG),2021-22,1,1
Athlete,Acting (ACTG),2022-23,1,1
Athlete,Acting (ACTG),2023-24,2,2
Athlete,Acting (ACTG),2024-25,1,1
Athlete,Actuarial Science (ACSC),2021-22,4,4
Athlete,Actuarial Science (ACSC),2022-23,4,4
Athlete,Actuarial Science (ACSC),2023-24,2,2
Athlete,Actuarial Science (ACSC),2024-25,1,1
Athlete,African-American Studies (AFS),2024-25,1,1
Athlete,Allied Health (ALH),2021-22,14,14
Athlete,Allied Health (ALH),2022-23,3,3
Athlete,"Art, Entertainment, & Business (ABUS)",2024-25,2,2
Athlete,Biochemistry (BCHM),2021-22,6,6
Athlete,Biochemistry (BCHM),2022-23,5,5
Athlete,Biochemistry (BCHM),2023-24,3,3
Athlete,Biochemistry (BCHM),2024-25,8,8
Athlete,Biology (BIOL),2021-22,24,24
Athlete,Biology (BIOL),2022-23,19,19
Athlete,Biology (BIOL),2023-24,28,28
Athlete,Biology (BIOL),2024-25,26,26
Athlete,Business (BUS),2021-22,36,36
Athlete,Business (BUS),2022-23,6,6
Athlete,Clarinet (CLAR),2022-23,1,1
Athlete,Clarinet (CLAR),2024-25,2,2
Athlete,Computer Networking (CNTW),2021-22,4,4
Athlete,Computer Networking (CNTW),2022-23,1,1
Athlete,Computer Science (CPSC),2021-22,13,13
Athlete,Computer Science (CPSC),2022-23,15,15
Athlete,Computer Science (CPSC),2023-24,23,23
Athlete,Computer Science (CPSC),2024-25,26,26
Athlete,Computer Studies (CS),2021-22,7,7
Athlete,Computer Studies (CS),2022-23,2,2
Athlete,Criminal Justice (CJ),2021-22,41,41
Athlete,Criminal Justice (CJ),2022-23,37,37
Athlete,Criminal Justice (CJ),2023-24,28,28
Athlete,Criminal Justice (CJ),2024-25,32,32
Athlete,Culinary Arts (CUL),2021-22,2,2
Athlete,Cyber and Information Security (CSIA),2021-22,7,7
Athlete,Cyber and Information Security (CSIA),2022-23,10,10
Athlete,Cyber and Information Security (CSIA),2023-24,12,12
Athlete,Cyber and Information Security (CSIA),2024-25,14,14
Athlete,Data Analytics (DANL),2021-22,1,1
Athlete,Data Analytics (DANL),2022-23,1,1
Athlete,Data Analytics (DANL),2023-24,5,5
Athlete,Data Analytics (DANL),2024-25,4,4
Athlete,Diagnostic Med Sonogrphy (DMS),2021-22,7,7
Athlete,Diagnostic Med Sonogrphy (DMS),2022-23,5,5
Athlete,Diagnostic Med Sonogrphy (DMS),2023-24,6,6
Athlete,Diagnostic Med Sonogrphy (DMS),2024-25,8,8
Athlete,"Digital, Adv, & Public Rel (DAPR)",2021-22,1,1
Athlete,"Digital, Adv, & Public Rel (DAPR)",2022-23,10,10
Athlete,"Digital, Adv, & Public Rel (DAPR)",2023-24,24,24
Athlete,"Digital, Adv, & Public Rel (DAPR)",2024-25,21,21
Athlete,Drafting and Design Technology (DDT),2021-22,3,3
Athlete,Early Childhood Education (ECHD),2021-22,3,3
Athlete,Early Childhood Education (ECHD),2022-23,6,6
Athlete,Early Childhood Education (ECHD),2023-24,4,4
Athlete,Early Childhood Education (ECHD),2024-25,3,3
Athlete,Economics (ECON),2021-22,4,4
Athlete,Economics (ECON),2022-23,3,3
Athlete,Economics (ECON),2023-24,5,5
Athlete,Economics (ECON),2024-25,1,1
Athlete,Education & Youth Studies (EDYS),2021-22,1,1
Athlete,Education & Youth Studies (EDYS),2022-23,1,1
Athlete,Education & Youth Studies (EDYS),2023-24,2,2
Athlete,Education & Youth Studies (EDYS),2024-25,5,5
Athlete,Elementary Education (ELED),2021-22,8,8
Athlete,Elementary Education (ELED),2022-23,8,8
Athlete,Elementary Education (ELED),2023-24,9,9
Athlete,Elementary Education (ELED),2024-25,8,8
Athlete,English (ENG),2021-22,4,4
Athlete,English (ENG),2022-23,6,6
Athlete,English (ENG),2023-24,2,2
Athlete,English (ENG),2024-25,1,1
Athlete,Euphonium (EUPH),2023-24,1,1
Athlete,Exercise and Sports Studies (ESS),2021-22,12,12
Athlete,"Exercise, Nutrition and Health (ENHS)",2021-22,50,50
Athlete,"Exercise, Nutrition and Health (ENHS)",2022-23,82,82
Athlete,"Exercise, Nutrition and Health (ENHS)",2023-24,91,91
Athlete,"Exercise, Nutrition and Health (ENHS)",2024-25,89,89
Athlete,Experiential Learning (EXPL),2021-22,2,2
Athlete,Experiential Learning (EXPL),2022-23,1,1
Athlete,Finance (FIN),2021-22,30,30
Athlete,Finance (FIN),2022-23,33,33
Athlete,Finance (FIN),2023-24,38,38
Athlete,Finance (FIN),2024-25,46,46
Athlete,Graphic Arts (GDS),2021-22,10,10
Athlete,Graphic Arts (GDS),2022-23,1,1
Athlete,Graphic Design (GCDN),2021-22,9,9
Athlete,Graphic Design (GCDN),2022-23,12,12
Athlete,Graphic Design (GCDN),2023-24,12,12
Athlete,Graphic Design (GCDN),2024-25,8,8
Athlete,Guitar (GUIT),2022-23,1,1
Athlete,Health Science Administration (HSAD),2021-22,1,1
Athlete,Health Science Administration (HSAD),2022-23,5,5
Athlete,Health Science Administration (HSAD),2023-24,2,2
Athlete,Health Science Administration (HSAD),2024-25,2,2
Athlete,History (HIST),2021-22,8,8
Athlete,History (HIST),2022-23,8,8
Athlete,History (HIST),2023-24,5,5
Athlete,History (HIST),2024-25,6,6
Athlete,Histotechnology (HSTC),2023-24,1,1
Athlete,Histotechnology (HSTC),2024-25,1,1
Athlete,Hospitality & Tourism Mgmnt (HTM),2021-22,9,9
Athlete,Hospitality & Tourism Mgmnt (HTM),2022-23,7,7
Athlete,Hospitality & Tourism Mgmnt (HTM),2023-24,7,7
Athlete,Hospitality & Tourism Mgmnt (HTM),2024-25,6,6
Athlete,Human Resources Management (HRM),2021-22,1,1
Athlete,Human Resources Management (HRM),2022-23,1,1
Athlete,Human Resources Management (HRM),2023-24,4,4
Athlete,Human Resources Management (HRM),2024-25,4,4
Athlete,Information Technology (IT),2021-22,1,1
Athlete,Information Technology (IT),2022-23,7,7
Athlete,Information Technology (IT),2023-24,4,4
Athlete,Information Technology (IT),2024-25,7,7
Athlete,Integrated Marketing Comm (IMKC),2021-22,8,8
Athlete,Integrated Marketing Comm (IMKC),2022-23,3,3
Athlete,Interdisc Theatre Studies (THST),2024-25,2,2
Athlete,Interdiscip Music Industry (MUSI),2024-25,1,1
Athlete,International Studies (INTS),2021-22,1,1
Athlete,Jazz Studies- Performance (JAZ1),2021-22,1,1
Athlete,Jazz Studies- Performance (JAZ1),2023-24,1,1
Athlete,Jazz Studies- Performance (JAZ1),2024-25,1,1
Athlete,Journalism and Media Studies (JMS),2021-22,5,5
Athlete,Journalism and Media Studies (JMS),2022-23,6,6
Athlete,Journalism and Media Studies (JMS),2023-24,8,8
Athlete,Journalism and Media Studies (JMS),2024-25,9,9
Athlete,Liberal Arts (LART),2021-22,2,2
Athlete,Management (MGMT),2021-22,45,45
Athlete,Management (MGMT),2022-23,57,57
Athlete,Management (MGMT),2023-24,58,58
Athlete,Management (MGMT),2024-25,65,65
Athlete,Marketing (MKTG),2021-22,25,25
Athlete,Marketing (MKTG),2022-23,31,31
Athlete,Marketing (MKTG),2023-24,44,44
Athlete,Marketing (MKTG),2024-25,51,51
Athlete,Mathematics (MATH),2023-24,2,2
Athlete,Mathematics (MATH),2024-25,4,4
Athlete,Medical Technology (MDTC),2021-22,2,2
Athlete,Medical Technology (MDTC),2022-23,3,3
Athlete,Medical Technology (MDTC),2023-24,6,6
Athlete,Medical Technology (MDTC),2024-25,5,5
Athlete,Middle School Education (MIDL),2021-22,3,3
Athlete,Middle School Education (MIDL),2022-23,4,4
Athlete,Middle School Education (MIDL),2023-24,5,5
Athlete,Middle School Education (MIDL),2024-25,4,4
Athlete,Multi-Skill Technician (MST),2021-22,3,3
Athlete,Music (MUS),2021-22,1,1
Athlete,Music (MUS),2022-23,2,2
Athlete,Music (MUS),2023-24,1,1
Athlete,Music (MUS),2024-25,1,1
Athlete,Music and Computing (MUCT),2022-23,1,1
Athlete,Music and Computing (MUCT),2023-24,1,1
Athlete,Music and Computing (MUCT),2024-25,1,1
Athlete,Music Ed- Instrumental (ME3),2021-22,1,1
Athlete,Music Ed- Instrumental (ME3),2022-23,1,1
Athlete,Music Ed- Instrumental (ME3),2023-24,3,3
Athlete,Music Ed- Instrumental (ME3),2024-25,4,4
Athlete,Music Education (ME),2022-23,1,1
Athlete,Musical Theater (MUST),2021-22,3,3
Athlete,Musical Theater (MUST),2022-23,9,9
Athlete,Musical Theater (MUST),2023-24,6,6
Athlete,Musical Theater (MUST),2024-25,7,7
Athlete,None (NONE),2022-23,1,1
Athlete,Nuclear Med Techn (NMT),2021-22,1,1
Athlete,Nuclear Med Techn (NMT),2022-23,1,1
Athlete,Nuclear Med Techn (NMT),2023-24,2,2
Athlete,Nuclear Med Techn (NMT),2024-25,2,2
Athlete,Nursing (NURS),2021-22,17,17
Athlete,Nursing (NURS),2022-23,15,15
Athlete,Nursing (NURS),2023-24,11,11
Athlete,Nursing (NURS),2024-25,9,9
Athlete,Organizational Leadership (ORLD),2021-22,1,1
Athlete,Organizational Leadership (ORLD),2022-23,3,3
Athlete,Organizational Leadership (ORLD),2023-24,2,2
Athlete,Organizational Leadership (ORLD),2024-25,5,5
Athlete,Paralegal Studies (PARA),2021-22,13,13
Athlete,Paralegal Studies (PARA),2022-23,11,11
Athlete,Paralegal Studies (PARA),2023-24,8,8
Athlete,Paralegal Studies (PARA),2024-25,5,5
Athlete,Philosophy (PHIL),2024-25,1,1
Athlete,Political Science (POS),2021-22,3,3
Athlete,Political Science (POS),2022-23,4,4
Athlete,Political Science (POS),2023-24,3,3
Athlete,Political Science (POS),2024-25,4,4
Athlete,Psychology (PSYC),2021-22,32,32
Athlete,Psychology (PSYC),2022-23,34,34
Athlete,Psychology (PSYC),2023-24,41,41
Athlete,Psychology (PSYC),2024-25,44,44
Athlete,Radiation Therapy Tech (RDTC),2021-22,3,3
Athlete,Radiation Therapy Tech (RDTC),2022-23,5,5
Athlete,Radiation Therapy Tech (RDTC),2023-24,3,3
Athlete,Radiation Therapy Tech (RDTC),2024-25,2,2
Athlete,Radiography Tech (RADT),2021-22,3,3
Athlete,Radiography Tech (RADT),2022-23,4,4
Athlete,Radiography Tech (RADT),2023-24,3,3
Athlete,Radiography Tech (RADT),2024-25,2,2
Athlete,Real Estate (REAL),2021-22,11,11
Athlete,Real Estate (REAL),2022-23,12,12
Athlete,Real Estate (REAL),2023-24,15,15
Athlete,Real Estate (REAL),2024-25,11,11
Athlete,Real Estate (REES),2024-25,1,1
Athlete,Social Entrepreneurship (SENT),2022-23,1,1
Athlete,Social Entrepreneurship (SENT),2023-24,2,2
Athlete,Social Entrepreneurship (SENT),2024-25,1,1
Athlete,Social Justice Studies (SJ),2021-22,2,2
Athlete,Sociology (SOC),2021-22,2,2
Athlete,Sociology (SOC),2023-24,1,1
Athlete,Sociology (SOC),2024-25,2,2
Athlete,Special Education (SPED),2021-22,2,2
Athlete,Special Education (SPED),2022-23,2,2
Athlete,Special Education (SPED),2023-24,3,3
Athlete,Special Education (SPED),2024-25,5,5
Athlete,String Bass (STB),2022-23,1,1
Athlete,String Bass (STB),2023-24,1,1
Athlete,String Bass (STB),2024-25,1,1
Athlete,Sustainability Studies (SUST),2021-22,1,1
Athlete,Sustainability Studies (SUST),2022-23,2,2
Athlete,Sustainability Studies (SUST),2023-24,2,2
Athlete,Trumpet (TRPT),2021-22,1,1
Athlete,Trumpet (TRPT),2022-23,1,1
Athlete,Trumpet (TRPT),2023-24,1,1
Athlete,Tuba (TUBA),2022-23,1,1
Athlete,Tuba (TUBA),2023-24,1,1
Athlete,Tuba (TUBA),2024-25,1,1
Athlete,Undecided (UNDD),2021-22,55,55
Athlete,Undecided (UNDD),2022-23,59,59
Athlete,Undecided (UNDD),2023-24,36,36
Athlete,Undecided (UNDD),2024-25,29,29
Athlete,Women's and Gender Studies (WMST),2021-22,1,1
Athlete,Women's and Gender Studies (WMST),2024-25,1,1
Never an Athlete,Accounting (ACCT),2021-22,45,45
Never an Athlete,Accounting (ACCT),2022-23,46,46
Never an Athlete,Accounting (ACCT),2023-24,48,48
Never an Athlete,Accounting (ACCT),2024-25,63,63
Never an Athlete,Acting (ACTG),2021-22,60,60
Never an Athlete,Acting (ACTG),2022-23,59,59
Never an Athlete,Acting (ACTG),2023-24,52,52
Never an Athlete,Acting (ACTG),2024-25,50,50
Never an Athlete,Actuarial Science (ACSC),2021-22,9,9
Never an Athlete,Actuarial Science (ACSC),2022-23,7,7
Never an Athlete,Actuarial Science (ACSC),2023-24,5,5
Never an Athlete,Actuarial Science (ACSC),2024-25,6,6
Never an Athlete,Allied Health (ALH),2021-22,4,4
Never an Athlete,Allied Health (ALH),2022-23,1,1
Never an Athlete,Allied Health (ALH),2023-24,1,1
Never an Athlete,"Art, Entertainment, & Business (ABUS)",2024-25,3,3
Never an Athlete,Bassoon (BSSN),2021-22,1,1
Never an Athlete,Bilingual - ESL Education (BLNG),2023-24,1,1
Never an Athlete,Biochemistry (BCHM),2021-22,14,14
Never an Athlete,Biochemistry (BCHM),2022-23,10,10
Never an Athlete,Biochemistry (BCHM),2023-24,13,13
Never an Athlete,Biochemistry (BCHM),2024-25,14,14
Never an Athlete,Biology (BIOL),2021-22,94,94
Never an Athlete,Biology (BIOL),2022-23,76,76
Never an Athlete,Biology (BIOL),2023-24,93,93
Never an Athlete,Biology (BIOL),2024-25,101,101
Never an Athlete,Business (BUS),2021-22,37,37
Never an Athlete,Business (BUS),2022-23,9,9
Never an Athlete,Business (BUS),2023-24,3,3
Never an Athlete,Clarinet (CLAR),2021-22,3,3
Never an Athlete,Clarinet (CLAR),2022-23,4,4
Never an Athlete,Clarinet (CLAR),2023-24,3,3
Never an Athlete,Clarinet (CLAR),2024-25,2,2
Never an Athlete,Computer Networking (CNTW),2021-22,3,3
Never an Athlete,Computer Science (CPSC),2021-22,44,44
Never an Athlete,Computer Science (CPSC),2022-23,50,50
Never an Athlete,Computer Science (CPSC),2023-24,59,59
Never an Athlete,Computer Science (CPSC),2024-25,69,69
Never an Athlete,Computer Studies (CS),2021-22,6,6
Never an Athlete,Computer Studies (CS),2022-23,2,2
Never an Athlete,Criminal Justice (CJ),2021-22,64,64
Never an Athlete,Criminal Justice (CJ),2022-23,53,53
Never an Athlete,Criminal Justice (CJ),2023-24,48,48
Never an Athlete,Criminal Justice (CJ),2024-25,60,60
Never an Athlete,Culinary Arts (CUL),2021-22,3,3
Never an Athlete,Culinary Arts (CUL),2022-23,1,1
Never an Athlete,Cyber and Information Security (CSIA),2021-22,18,18
Never an Athlete,Cyber and Information Security (CSIA),2022-23,19,19
Never an Athlete,Cyber and Information Security (CSIA),2023-24,21,21
Never an Athlete,Cyber and Information Security (CSIA),2024-25,35,35
Never an Athlete,Data Analytics (DANL),2021-22,3,3
Never an Athlete,Data Analytics (DANL),2022-23,4,4
Never an Athlete,Data Analytics (DANL),2023-24,5,5
Never an Athlete,Data Analytics (DANL),2024-25,6,6
Never an Athlete,Diagnostic Med Sonogrphy (DMS),2021-22,39,39
Never an Athlete,Diagnostic Med Sonogrphy (DMS),2022-23,61,61
Never an Athlete,Diagnostic Med Sonogrphy (DMS),2023-24,99,99
Never an Athlete,Diagnostic Med Sonogrphy (DMS),2024-25,137,137
Never an Athlete,"Digital, Adv, & Public Rel (DAPR)",2021-22,5,5
Never an Athlete,"Digital, Adv, & Public Rel (DAPR)",2022-23,17,17
Never an Athlete,"Digital, Adv, & Public Rel (DAPR)",2023-24,33,33
Never an Athlete,"Digital, Adv, & Public Rel (DAPR)",2024-25,34,34
Never an Athlete,Drafting and Design Technology (DDT),2021-22,1,1
